2025-07-12T05:10:14.801759Z  INFO burn_train::learner::train_val: Fitting the model:
 Model {
  conv1: Conv2d {stride: [1, 1], kernel_size: [3, 3], dilation: [1, 1], groups: 1, padding: Valid, params: 80}
  conv2: Conv2d {stride: [1, 1], kernel_size: [3, 3], dilation: [1, 1], groups: 1, padding: Valid, params: 1168}
  pool: AdaptiveAvgPool2d {output_size: [8, 8]}
2025-07-12T05:10:24.123585Z  INFO burn_train::learner::epoch: Iteration 34    
2025-07-12T05:10:24.396250Z  INFO burn_train::learner::epoch: Iteration 35    
2025-07-12T05:10:24.680922Z  INFO burn_train::learner::epoch: Iteration 36    
2025-07-12T05:10:24.952389Z  INFO burn_train::learner::epoch: Iteration 37    
2025-07-12T05:10:25.224499Z  INFO burn_train::learner::epoch: Iteration 38    
2025-07-12T05:10:25.496230Z  INFO burn_train::learner::epoch: Iteration 39    
2025-07-12T05:10:25.794312Z  INFO burn_train::learner::epoch: Iteration 40    
2025-07-12T05:10:26.066564Z  INFO burn_train::learner::epoch: Iteration 41    
2025-07-12T05:10:26.338318Z  INFO burn_train::learner::epoch: Iteration 42    
2025-07-12T05:10:26.611145Z  INFO burn_train::learner::epoch: Iteration 43    
2025-07-12T05:10:26.895934Z  INFO burn_train::learner::epoch: Iteration 44    
2025-07-12T05:10:27.168194Z  INFO burn_train::learner::epoch: Iteration 45    
2025-07-12T05:10:27.440179Z  INFO burn_train::learner::epoch: Iteration 46    
2025-07-12T05:10:27.712894Z  INFO burn_train::learner::epoch: Iteration 47    
2025-07-12T05:10:27.996845Z  INFO burn_train::learner::epoch: Iteration 48    
2025-07-12T05:10:28.269278Z  INFO burn_train::learner::epoch: Iteration 49    
2025-07-12T05:10:28.541275Z  INFO burn_train::learner::epoch: Iteration 50    
2025-07-12T05:10:28.815975Z  INFO burn_train::learner::epoch: Iteration 51    
2025-07-12T05:10:29.088482Z  INFO burn_train::learner::epoch: Iteration 52    
2025-07-12T05:10:29.360494Z  INFO burn_train::learner::epoch: Iteration 53    
2025-07-12T05:10:29.631993Z  INFO burn_train::learner::epoch: Iteration 54    
2025-07-12T05:10:29.913050Z  INFO burn_train::learner::epoch: Iteration 55    
2025-07-12T05:10:30.185892Z  INFO burn_train::learner::epoch: Iteration 56    
2025-07-12T05:10:30.457999Z  INFO burn_train::learner::epoch: Iteration 57    
2025-07-12T05:10:30.731164Z  INFO burn_train::learner::epoch: Iteration 58    
2025-07-12T05:10:31.018953Z  INFO burn_train::learner::epoch: Iteration 59    
2025-07-12T05:10:31.291914Z  INFO burn_train::learner::epoch: Iteration 60    
2025-07-12T05:10:31.565293Z  INFO burn_train::learner::epoch: Iteration 61    
2025-07-12T05:10:31.839492Z  INFO burn_train::learner::epoch: Iteration 62    
